_id,food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
6846e41bf944a41ef73f9f97,"Apricot Nectar, Canned,Wo/ Vit C",56.0,0.37,14.39,0.09,0.6,13.79,3.0,0.0
6846e41bf944a41ef73f9f98,"Apricots, Canned,Ex Hvy Syrup Pk, Wo/Skn, Sol&Liquids",96.0,0.55,24.85,0.04,1.6,5.409999999999999,13.0,0.0
6846e41bf944a41ef73f9f99,"Apricots, Canned,Ex lt Syrup Pk, w/Skn, Sol&Liquids",49.0,0.6,12.5,0.1,1.6,10.84,2.0,0.0
6846e41bf944a41ef73f9f9a,"Apricots, Canned,H2O Pk, w/Skn, Sol&Liquids",27.0,0.71,6.39,0.16,1.6,4.79,3.0,0.0
6846e41bf944a41ef73f9f9b,"Apricots, Canned,H2O Pk, Wo/Skn, Sol&Liquids",22.0,0.69,5.48,0.03,1.1,3.056,11.0,0.0
6846e41bf944a41ef73f9f9c,"Apricots, Canned,Hvy Syrup Pk, w/Skn, Sol&Liquids",83.0,0.53,21.47,0.08,1.6,19.87,4.0,0.0
6846e41bf944a41ef73f9f9d,"Apricots, Canned,Hvy Syrup Pk, Wo/Skn, Sol&Liquids",83.0,0.51,21.45,0.09,1.6,11.94,11.0,0.0
6846e41bf944a41ef73f9f9e,"Apricots, Canned,Hvy Syrup, Drnd",83.0,0.64,21.31,0.11,2.7,18.65,4.0,0.0
6846e41bf944a41ef73f9f9f,"Apricots, Canned,Juc Pk, w/Skn, Sol&Liquids",48.0,0.63,12.34,0.04,1.6,10.74,4.0,0.0
6846e41bf944a41ef73f9fa0,"Apricots, Canned,lt Syrup Pk, w/Skn, Sol&Liquids",63.0,0.53,16.49,0.05,1.6,14.89,4.0,0.0
6846e41bf944a41ef73f9fa1,"Apricots, Dehyd (Low-Moisture),Sulfured, Stwd",126.0,1.93,32.62,0.24,5.0200000000000005,13.514,5.0,0.0
6846e41bf944a41ef73f9fa2,"Apricots, Dehyd (Low-Moisture),Sulfured, Unckd",320.0,4.9,82.89,0.62,4.5,43.760000000000005,13.0,0.0
6846e41bf944a41ef73f9fa3,"Apricots, Dried,Sulfured, Stwd,w/ Sugar",113.0,1.17,29.26,0.15,4.1,12.996,3.0,0.0
6846e41bf944a41ef73f9fa4,"Apricots, Dried,Sulfured, Stwd,Wo/ Sugar",85.0,1.2,22.15,0.18,2.6,19.57,4.0,0.0
6846e41bf944a41ef73f9fa5,"Apricots, Dried,Sulfured, Unckd",241.0,3.39,62.64,0.51,7.3,53.44,10.0,0.0
6846e41bf944a41ef73f9fa6,"Apricots, Frozen,Sweetened",98.0,0.7,25.1,0.1,2.2,12.239999999999998,4.0,0.0
6846e41bf944a41ef73f9fa7,"Apricots, Raw",48.0,1.4,11.12,0.39,2.0,9.24,1.0,0.0
6846e41bf944a41ef73f9fa8,"Arby'S, Rst Bf Sndwch, Classic",242.0,15.17,22.21,10.3,1.3,3.84,653.0,30.0
6846e41bf944a41ef73f9fa9,"Archway Home Style Cookies, Frosty Lemon",430.0,4.41,64.78,17.11,0.7,33.35,449.0,0.0
6846e41bf944a41ef73f9faa,"Archway Home Style Cookies, Pnut Butter",480.0,9.0,58.48,24.28,2.8,32.55,404.0,37.0
6846e41bf944a41ef73f9fab,"Archway Home Style Cookies, Raspberry Filled",400.0,4.35,65.92,13.26,2.2,31.76,334.0,6.0
6846e41bf944a41ef73f9fac,"Archway Home Style Cookies, Sugar Free Oatmeal",442.0,5.54,67.2,20.92,1.9,1.26,308.0,0.0
6846e41bf944a41ef73f9fad,"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",497.0,4.28,65.02,24.4,2.0,34.06,270.0,13.0
6846e41bf944a41ef73f9fae,"ARCHWAY Home Style Cookies, Coconut Macaroon",460.0,3.02,61.23,22.55,5.1,45.16,200.0,0.0
6846e41bf944a41ef73f9faf,"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400.0,4.67,68.16,12.05,2.1,34.27,331.0,6.0
